"Key","State","Abbrev","region_cd","region","region_abbrv"
1,"Alabama","AK",5,"Southeast ","SEST"
2,"Alaska","AL",8,"Far West ","FWST"
3,"Arizona","AR",6,"Southwest ","SWST"
4,"Arkansas","AZ",5,"Southeast ","SEST"
5,"California","CA",8,"Far West ","FWST"
6,"Colorado","CO",7,"Rocky Mountain ","RKMT"
7,"Connecticut","CT",1,"New England ","NENG"
8,"Delaware","DE",2,"Mideast ","MEST"
9,"District of Columbia","DC",2,"Mideast ","MEST"
10,"Florida","FL",5,"Southeast ","SEST"
11,"Georgia","GA",5,"Southeast ","SEST"
12,"Hawaii","HI",8,"Far West ","FWST"
13,"Idaho","IA",7,"Rocky Mountain ","RKMT"
14,"Illinois","ID",3,"Great Lakes ","GLAK"
15,"Indiana","IL",3,"Great Lakes ","GLAK"
16,"Iowa","IN",4,"Plains ","PLNS"
17,"Kansas","KS",4,"Plains ","PLNS"
18,"Kentucky","KY",5,"Southeast ","SEST"
19,"Louisiana","LA",5,"Southeast ","SEST"
20,"Maine","MA",1,"New England ","NENG"
21,"Maryland","MD",2,"Mideast ","MEST"
22,"Massachusetts","ME",1,"New England ","NENG"
23,"Michigan","MI",3,"Great Lakes ","GLAK"
24,"Minnesota","MN",4,"Plains ","PLNS"
25,"Mississippi","MO",5,"Southeast ","SEST"
26,"Missouri","MS",4,"Plains ","PLNS"
27,"Montana","MT",7,"Rocky Mountain ","RKMT"
28,"Nebraska","NC",4,"Plains ","PLNS"
29,"Nevada","ND",8,"Far West ","FWST"
30,"New Hampshire","NE",1,"New England ","NENG"
31,"New Jersey","NH",2,"Mideast ","MEST"
32,"New Mexico","NJ",6,"Southwest ","SWST"
33,"New York","NM",2,"Mideast ","MEST"
34,"North Carolina","NV",5,"Southeast ","SEST"
35,"North Dakota","NY",4,"Plains ","PLNS"
36,"Ohio","OH",3,"Great Lakes ","GLAK"
37,"Oklahoma","OK",6,"Southwest ","SWST"
38,"Oregon","OR",8,"Far West ","FWST"
39,"Pennsylvania","PA",2,"Mideast ","MEST"
40,"Rhode Island","RI",1,"New England ","NENG"
41,"South Carolina","SC",5,"Southeast ","SEST"
42,"South Dakota","SD",4,"Plains ","PLNS"
43,"Tennessee","TN",5,"Southeast ","SEST"
44,"Texas","TX",6,"Southwest ","SWST"
45,"Utah","UT",7,"Rocky Mountain ","RKMT"
46,"Vermont","VA",1,"New England ","NENG"
47,"Virginia","VT",5,"Southeast ","SEST"
48,"Virgin Islands","VI",5,"Southeast ","SEST"
49,"Washington","WA",8,"Far West ","FWST"
50,"West Virginia","WI",5,"Southeast ","SEST"
51,"Wisconsin","WV",3,"Great Lakes ","GLAK"
52,"Wyoming","WY",7,"Rocky Mountain ","RKMT"
